unique_number,id_no,name_en,date_inscribed,category,name_en
523,451,Old Town of Galle and its Fortifications,1988,Cultural,Asia and the Pacific
613,524,Buddhist Monuments at Sanchi,1989,Cultural,Asia and the Pacific
1933,547,Mount Huangshan,1990,Mixed,Asia and the Pacific
638,543,Itchan Kala,1990,Cultural,Asia and the Pacific
487,421,Tongariro National Park,1990,Mixed,Asia and the Pacific
648,551,Te Wahipounamu _ South West New Zealand,1990,Natural,Asia and the Pacific
684,578,"Shark Bay, Western Australia",1991,Natural,Asia and the Pacific
700,592,Borobudur Temple Compounds,1991,Cultural,Asia and the Pacific
722,608,Ujung Kulon National Park,1991,Natural,Asia and the Pacific
762,642,Prambanan Temple Compounds,1991,Cultural,Asia and the Pacific
679,574,Historic Town of Sukhothai and Associated Historic Towns,1991,Cultural,Asia and the Pacific
681,576,Historic City of Ayutthaya,1991,Cultural,Asia and the Pacific
699,591,Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,1991,Natural,Asia and the Pacific
723,609,Komodo National Park,1991,Natural,Asia and the Pacific
663,561,Golden Temple of Dambulla,1991,Cultural,Asia and the Pacific
748,630,Fraser Island,1992,Natural,Asia and the Pacific
791,668,Angkor,1992,Cultural,Asia and the Pacific
757,637,Jiuzhaigou Valley Scenic and Historic Interest Area,1992,Natural,Asia and the Pacific
758,638,Huanglong Scenic and Historic Interest Area,1992,Natural,Asia and the Pacific
760,640,Wulingyuan Scenic and Historic Interest Area,1992,Natural,Asia and the Pacific
680,575,Ban Chiang Archaeological Site,1992,Cultural,Asia and the Pacific
258,232,"Humayun's Tomb, Delhi",1993,Cultural,Asia and the Pacific
259,233,"Qutb Minar and its Monuments, Delhi",1993,Cultural,Asia and the Pacific
781,660,Buddhist Monuments in the Horyu-ji Area,1993,Cultural,Asia and the Pacific
782,661,Himeji-jo,1993,Cultural,Asia and the Pacific
783,662,Yakushima,1993,Natural,Asia and the Pacific
784,663,Shirakami-Sanchi,1993,Natural,Asia and the Pacific
1955,677,Baroque Churches of the Philippines,1993,Cultural,Asia and the Pacific
713,602,Historic Centre of Bukhara,1993,Cultural,Asia and the Pacific
802,678,Complex of Hu_ Monuments,1993,Cultural,Asia and the Pacific
1554,653,Tubbataha Reefs Natural Park,1993,Natural,Asia and the Pacific
826,698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),1994,Natural,Asia and the Pacific
831,703,"Mountain Resort and its Outlying Temples, Chengde",1994,Cultural,Asia and the Pacific
832,704,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,1994,Cultural,Asia and the Pacific
833,705,Ancient Building Complex in the Wudang Mountains,1994,Cultural,Asia and the Pacific
837,707,"Historic Ensemble of the Potala Palace, Lhasa",1994,Cultural,Asia and the Pacific
814,688,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",1994,Cultural,Asia and the Pacific
796,672,Ha Long Bay,1994,Natural,Asia and the Pacific
868,734,Historic Villages of Shirakawa-go and Gokayama,1995,Cultural,Asia and the Pacific
1954,479,Town of Luang Prabang,1995,Cultural,Asia and the Pacific
869,736,Seokguram Grotto and Bulguksa Temple,1995,Cultural,Asia and the Pacific
870,737,"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",1995,Cultural,Asia and the Pacific
871,738,Jongmyo Shrine,1995,Cultural,Asia and the Pacific
853,722,Rice Terraces of the Philippine Cordilleras,1995,Cultural,Asia and the Pacific
921,778,Lushan National Park,1996,Cultural,Asia and the Pacific
922,779,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",1996,Mixed,Asia and the Pacific
701,593,Sangiran Early Man Site,1996,Cultural,Asia and the Pacific
917,775,Hiroshima Peace Memorial (Genbaku Dome),1996,Cultural,Asia and the Pacific
918,776,Itsukushima Shinto Shrine,1996,Cultural,Asia and the Pacific
1934,811,Old Town of Lijiang,1997,Cultural,Asia and the Pacific
959,812,Ancient City of Ping Yao,1997,Cultural,Asia and the Pacific
961,813,Classical Gardens of Suzhou,1997,Cultural,Asia and the Pacific
788,666,"Lumbini, the Birthplace of the Lord Buddha",1997,Cultural,Asia and the Pacific
693,586,Rohtas Fort,1997,Cultural,Asia and the Pacific
964,816,Changdeokgung Palace Complex,1997,Cultural,Asia and the Pacific
965,817,Hwaseong Fortress,1997,Cultural,Asia and the Pacific
683,577,Heard and McDonald Islands,1997,Natural,Asia and the Pacific
747,629,Macquarie Island,1997,Natural,Asia and the Pacific
943,798,The Sundarbans,1997,Natural,Asia and the Pacific
1032,880,"Summer Palace, an Imperial Garden in Beijing",1998,Cultural,Asia and the Pacific
1033,881,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,1998,Cultural,Asia and the Pacific
1021,870,Historic Monuments of Ancient Nara,1998,Cultural,Asia and the Pacific
1029,877,New Zealand Sub-Antarctic Islands,1998,Natural,Asia and the Pacific
1005,854,East Rennell,1998,Natural,Asia and the Pacific
1064,911,Mount Wuyi,1999,Mixed,Asia and the Pacific
1065,912,Dazu Rock Carvings,1999,Cultural,Asia and the Pacific
1540,944,Mountain Railways of India,1999,Cultural,Asia and the Pacific
1066,913,Shrines and Temples of Nikko,1999,Cultural,Asia and the Pacific
586,502,Historic City of Vigan,1999,Cultural,Asia and the Pacific
773,652,Puerto-Princesa Subterranean River National Park,1999,Natural,Asia and the Pacific
1038,886,State Historical and Cultural Park ÒAncient MervÓ,1999,Cultural,Asia and the Pacific
1109,948,Hoi An Ancient Town,1999,Cultural,Asia and the Pacific
